"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"2876",2876,"2876",733.3775
"2877",2877,"2877",14859.9262
"2878",2878,"2878",18261.1235
"2879",2879,"2879",13320.0094
"2880",2880,"2880",66196.0348
"2898",2898,"2898",16.2918
"2899",2899,"2899",38.6509
"2900",2900,"2900",101.1042
"2902",2902,"2902",11.3361
"2903",2903,"2903",6.484
"2904",2904,"2904",9.7514
"2905",2905,"2905",19.8141
"2906",2906,"2906",11.2186
"2911",2911,"2911",5.0536
"2912",2912,"2912",49.725
"2913",2913,"2913",17.7279
"2914",2914,"2914",16.4907
"3000",3000,"3000",3.1881
"3002",3002,"3002",1.8557
"3003",3003,"3003",6.5821
"3004",3004,"3004",3.3164
"3005",3005,"3005",0.1183
"3006",3006,"3006",1.8541
"3008",3008,"3008",3.0296
"3010",3010,"3010",0.5403
"3011",3011,"3011",5.9663
"3012",3012,"3012",15.2579
"3013",3013,"3013",5.6585
"3015",3015,"3015",8.9003
"3016",3016,"3016",7.3729
"3018",3018,"3018",17.6847
"3019",3019,"3019",4.3246
"3020",3020,"3020",25.1062
"3021",3021,"3021",19.7531
"3022",3022,"3022",2.1307
"3023",3023,"3023",39.5155
"3024",3024,"3024",151.2862
"3025",3025,"3025",13.9443
"3026",3026,"3026",15.4613
"3027",3027,"3027",3.8325
"3028",3028,"3028",15.9193
"3029",3029,"3029",102.9012
"3030",3030,"3030",252.7174
"3031",3031,"3031",5.0187
"3032",3032,"3032",9.7479
"3033",3033,"3033",8.8077
"3034",3034,"3034",5.4087
"3036",3036,"3036",18.1531
"3037",3037,"3037",22.5466
"3038",3038,"3038",13.3509
"3039",3039,"3039",4.3551
"3040",3040,"3040",8.7366
"3041",3041,"3041",8.2316
"3042",3042,"3042",8.8958
"3043",3043,"3043",12.4013
"3044",3044,"3044",8.0232
"3045",3045,"3045",27.0408
"3046",3046,"3046",14.2983
"3047",3047,"3047",11.4857
"3048",3048,"3048",7.7607
"3049",3049,"3049",10.0721
"3050",3050,"3050",0.0827
"3051",3051,"3051",2.3455
"3052",3052,"3052",3.442
"3053",3053,"3053",1.7488
"3054",3054,"3054",2.3042
"3055",3055,"3055",3.2333
"3056",3056,"3056",4.9839
"3057",3057,"3057",2.257
"3058",3058,"3058",11.7021
"3059",3059,"3059",30.5629
"3060",3060,"3060",5.2301
"3061",3061,"3061",12.247
"3062",3062,"3062",5.4102
"3063",3063,"3063",45.0391
"3064",3064,"3064",107.2974
"3065",3065,"3065",1.4196
"3066",3066,"3066",1.3267
"3067",3067,"3067",1.8302
"3068",3068,"3068",4.053
"3070",3070,"3070",6.0094
"3071",3071,"3071",5.1328
"3072",3072,"3072",11.4678
"3073",3073,"3073",18.9665
"3074",3074,"3074",14.7441
"3075",3075,"3075",7.7247
"3076",3076,"3076",35.2737
"3078",3078,"3078",6.3554
"3079",3079,"3079",7.6392
"3081",3081,"3081",6.231
"3082",3082,"3082",13.066
"3083",3083,"3083",16.1944
"3084",3084,"3084",13.0609
"3085",3085,"3085",7.5041
"3086",3086,"3086",2.3848
"3087",3087,"3087",3.7507
"3088",3088,"3088",13.1584
"3089",3089,"3089",17.836
"3090",3090,"3090",10.9752
"3091",3091,"3091",15.3453
"3093",3093,"3093",6.8224
"3094",3094,"3094",3.8318
"3095",3095,"3095",30.2142
"3096",3096,"3096",8.9885
"3097",3097,"3097",39.7809
"3099",3099,"3099",99.9978
"3101",3101,"3101",10.4847
"3102",3102,"3102",4.0648
"3103",3103,"3103",5.2738
"3104",3104,"3104",9.0928
"3105",3105,"3105",6.5138
"3106",3106,"3106",16.141
"3107",3107,"3107",5.9227
"3108",3108,"3108",8.7804
"3109",3109,"3109",11.108
"3111",3111,"3111",11.691
"3113",3113,"3113",26.1086
"3114",3114,"3114",9.4751
"3115",3115,"3115",23.2172
"3116",3116,"3116",22.2024
"3121",3121,"3121",6.2125
"3122",3122,"3122",5.8773
"3123",3123,"3123",3.4843
"3124",3124,"3124",7.5978
"3125",3125,"3125",6.0826
"3126",3126,"3126",3.1303
"3127",3127,"3127",6.1341
"3128",3128,"3128",7.012
"3129",3129,"3129",6.1311
"3130",3130,"3130",12.2043
"3131",3131,"3131",9.1487
"3132",3132,"3132",6.6271
"3133",3133,"3133",10.7938
"3134",3134,"3134",22.8758
"3135",3135,"3135",9.155
"3136",3136,"3136",23.0364
"3137",3137,"3137",12.6832
"3138",3138,"3138",12.5016
"3139",3139,"3139",238.1912
"3140",3140,"3140",29.1738
"3141",3141,"3141",3.5476
"3142",3142,"3142",4.2727
"3143",3143,"3143",2.1647
"3144",3144,"3144",3.4211
"3145",3145,"3145",8.981
"3146",3146,"3146",8.3088
"3147",3147,"3147",5.3819
"3148",3148,"3148",2.9966
"3149",3149,"3149",15.1846
"3150",3150,"3150",27.2797
"3151",3151,"3151",4.263
"3152",3152,"3152",22.2598
"3153",3153,"3153",14.4819
"3154",3154,"3154",6.3676
"3155",3155,"3155",11.3404
"3156",3156,"3156",53.5101
"3158",3158,"3158",6.2172
"3159",3159,"3159",14.0266
"3160",3160,"3160",20.9449
"3161",3161,"3161",4.2015
"3162",3162,"3162",4.7426
"3163",3163,"3163",7.2128
"3165",3165,"3165",9.0366
"3166",3166,"3166",8.4652
"3167",3167,"3167",6.6515
"3168",3168,"3168",8.217
"3169",3169,"3169",11.4472
"3170",3170,"3170",10.7189
"3171",3171,"3171",11.0861
"3172",3172,"3172",12.7476
"3173",3173,"3173",21.714
"3174",3174,"3174",12.3026
"3175",3175,"3175",73.8316
"3177",3177,"3177",5.1934
"3178",3178,"3178",21.7653
"3179",3179,"3179",8.6902
"3180",3180,"3180",5.6689
"3181",3181,"3181",2.9335
"3182",3182,"3182",3.7072
"3183",3183,"3183",3.0288
"3184",3184,"3184",2.5953
"3185",3185,"3185",3.1474
"3186",3186,"3186",8.3702
"3187",3187,"3187",5.6196
"3188",3188,"3188",5.5403
"3189",3189,"3189",4.5832
"3190",3190,"3190",3.658
"3191",3191,"3191",3.9185
"3192",3192,"3192",10.5758
"3193",3193,"3193",8.3434
"3194",3194,"3194",7.5255
"3195",3195,"3195",24.4768
